id,category,garhwali,hindi,english
28,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
29,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
30,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
31,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
32,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
33,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
34,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
35,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
36,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
37,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
38,home,भात बणाई दे।,भात बना दो।,Cook the rice.
39,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
40,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
41,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
42,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
43,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
44,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
45,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
46,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
47,food,चाय बनाई दे।,चाय बना दो।,Make tea.
48,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
49,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
50,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
51,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
52,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
53,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
54,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
55,food,चाय बनाई दे।,चाय बना दो।,Make tea.
56,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
57,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
58,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
59,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
60,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
61,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
62,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
63,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
64,greetings,जै हो!,जय हो!,Greetings!
65,home,भात बणाई दे।,भात बना दो।,Cook the rice.
66,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
67,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
68,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
69,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
70,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
71,home,भात बणाई दे।,भात बना दो।,Cook the rice.
72,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
73,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
74,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
75,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
76,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
77,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
78,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
79,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
80,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
81,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
82,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
83,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
84,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
85,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
86,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
87,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
88,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
89,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
90,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
91,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
92,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
93,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
94,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
95,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
96,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
97,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
98,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
99,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
100,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
101,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
102,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
103,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
104,food,चाय बनाई दे।,चाय बना दो।,Make tea.
105,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
106,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
107,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
108,food,चाय बनाई दे।,चाय बना दो।,Make tea.
109,home,भात बणाई दे।,भात बना दो।,Cook the rice.
110,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
111,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
112,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
113,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
114,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
115,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
116,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
117,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
118,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
119,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
120,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
121,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
122,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
123,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
124,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
125,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
126,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
127,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
128,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
129,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
130,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
131,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
132,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
133,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
134,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
135,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
136,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
137,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
138,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
139,greetings,जै हो!,जय हो!,Greetings!
140,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
141,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
142,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
143,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
144,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
145,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
146,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
147,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
148,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
149,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
150,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
151,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
152,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
153,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
154,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
155,food,चाय बनाई दे।,चाय बना दो।,Make tea.
156,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
157,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
158,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
159,food,चाय बनाई दे।,चाय बना दो।,Make tea.
160,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
161,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
162,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
163,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
164,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
165,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
166,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
167,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
168,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
169,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
170,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
171,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
172,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
173,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
174,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
175,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
176,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
177,greetings,जै हो!,जय हो!,Greetings!
178,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
179,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
180,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
181,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
182,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
183,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
184,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
185,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
186,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
187,home,भात बणाई दे।,भात बना दो।,Cook the rice.
188,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
189,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
190,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
191,greetings,भल भेटी!,अच्छा मिला!,Nice to meet you!
192,health,आज थक्यूँ छूं।,आज मैं थका हूँ।,I am tired today.
193,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
194,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
195,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
196,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
197,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
198,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
199,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
200,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
201,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
202,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
203,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
204,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
205,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
206,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
207,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
208,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
209,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
210,food,चाय बनाई दे।,चाय बना दो।,Make tea.
211,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
212,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
213,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
214,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
215,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
216,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
217,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
218,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
219,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
220,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
221,home,भात बणाई दे।,भात बना दो।,Cook the rice.
222,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
223,emotion,मन दुख्यूं छा।,मुझे दुख हो रहा है।,I feel sad.
224,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
225,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
226,festival,दिवाली में घर सजांदा।,दिवाली में घर सजाते हैं।,We decorate the house on Diwali.
227,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
228,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
229,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
230,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
231,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
232,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
233,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
234,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
235,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
236,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
237,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
238,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
239,home,भात बणाई दे।,भात बना दो।,Cook the rice.
240,greetings,जै हो!,जय हो!,Greetings!
241,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
242,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
243,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
244,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
245,family,माँ कँहा छन?,माँ कहाँ हैं?,Where is mother?
246,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
247,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
248,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
249,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
250,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
251,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
252,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
253,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
254,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
255,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
256,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
257,food,चाय बनाई दे।,चाय बना दो।,Make tea.
258,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
259,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
260,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
261,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
262,home,भात बणाई दे।,भात बना दो।,Cook the rice.
263,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
264,market,दुकान कभ खुलली?,दुकान कब खुलेगी?,When will the shop open?
265,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
266,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
267,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
268,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
269,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
270,home,भात बणाई दे।,भात बना दो।,Cook the rice.
271,health,दवाई लाई दे।,दवाई ले आओ।,Bring the medicine.
272,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
273,home,घर साफ कर द्याल?,क्या घर साफ हुआ?,Is the house cleaned?
274,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
275,weather,आज मौसम ठंडो छा।,आज मौसम ठंडा है।,The weather is cold today.
276,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
277,work,आज मीटिंग छा।,आज मीटिंग है।,There is a meeting today.
278,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
279,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
280,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
281,food,नाश्ता तयार छा?,क्या नाश्ता तैयार है?,Is breakfast ready?
282,school,स्कूल कति बाज्यि?,स्कूल कितने बजे है?,What time is school?
283,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
284,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
285,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
286,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
287,school,होमवर्क कर ल्यो?,होमवर्क कर लिया?,Did you finish your homework?
288,market,म बाज़ार जा रौं।,मैं बाज़ार जा रहा हूँ।,I am going to the market.
289,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
290,family,घर में सब ठीक छा?,घर में सब ठीक है?,Is everything fine at home?
291,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
292,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
293,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
294,weather,बारिश होन लग्यूं।,बारिश होने लगी।,It started raining.
295,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
296,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
297,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
298,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
299,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
300,school,बैग तयार कर दे।,बैग तैयार कर दो।,Prepare the bag.
301,travel,बस कभ मिलुल?,बस कब मिलेगी?,When will the bus arrive?
302,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
303,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
304,festival,होली में रंग खेलन मजा छ।,होली में रंग खेलने में मज़ा है।,Playing colors on Holi is fun.
305,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
306,daily_use,खिड़की बंद कर दे।,खिड़की बंद कर दो।,Close the window.
307,work,लैपटॉप ठिक कर दे।,लैपटॉप ठीक कर दो।,Fix the laptop.
308,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
309,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
310,culture,गढ़वाली लोकगीत सुन्दर छा।,गढ़वाली लोकगीत सुंदर हैं।,Garhwali folk songs are beautiful.
311,culture,त्योहारों में लोग मिलजुल कर मनांदा।,त्योहारों में लोग मिलकर मनाते हैं।,People celebrate festivals together.
312,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
313,greetings,तू कैंक छा?,तुम कैसे हो?,How are you?
314,emotion,थोड़ो डर लग्यूं।,थोड़ा डर लग रहा है।,I feel a little scared.
315,market,सब्जी कित की ली?,सब्जी कितने की ली?,How much did the vegetables cost?
316,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
317,culture,नृत्य हमारा संस्कृति को हिस्सा छा।,नृत्य हमारी संस्कृति का हिस्सा है।,Dance is part of our culture.
318,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
319,daily_use,पाणी लाई दे।,पानी ले आओ।,Bring some water.
320,family,भाई स्कूल ग्या?,क्या भाई स्कूल गया?,Did brother go to school?
321,food,दाल में नून घुटि दे।,दाल में नमक डाल दो।,Add salt to the dal.
322,home,भात बणाई दे।,भात बना दो।,Cook the rice.
323,daily_use,बत्ती बाल दे।,लाइट जला दो।,Turn on the light.
324,weather,आज धूप खूब छन।,आज धूप बहुत है।,It's very sunny today.
325,health,माथो दुखूं छ।,सिर दर्द हो रहा है।,I have a headache.
326,work,काम कति चाल्युं?,काम कैसा चल रहा है?,How is the work going?
327,travel,रास्तो ठीक छा?,क्या रास्ता ठीक है?,Is the road okay?
328,home,झाड़ू कँहा छन?,झाड़ू कहाँ है?,Where is the broom?
329,travel,टिकट कँहा मिलुल?,टिकट कहाँ मिलेगा?,Where can I get a ticket?
330,festival,नवरात्रि में पूजा करांदा।,नवरात्रि में पूजा करते हैं।,We perform worship during Navratri.
331,emotion,आज खुश छूं।,आज मैं खुश हूँ।,I am happy today.
